narita|nrt|https://www.narita-airport.jp/jp/service/svc_33_wire
haneda|hnd|https://www.tokyo-airport-bldg.co.jp/service_facilities/digital_equipment/wireless_lan.html
sanfrancisco|sfo|https://www.flysfo.com/wi-fi
dubai|dxb|https://www.dubaiairports.ae/while-youre-here/services
atlanta|atl|https://www.atl.com/about-atl/airport-amenities/
los angeles|lax|https://www.flylax.com/en/lax-wifi
london|lhr|https://www.heathrow.com/airport-guide/terminal-facilities-and-services/internet-and-wi_fi
hong kong|hkg|https://www.hongkongairport.com/en/passenger-guide/airport-facilities-services/wifi-and-internet-access
paris|cdg|https://www.parisaeroport.fr/en/passengers/services/wifi
frankfurt|fra|https://www.frankfurt-airport.com/en/travel/transfer.detail.suffix.html/article/travel/services-a-z/free-24-hour-internet-access.html
